"Agrupamiento","Categoría","Proveedor","Cod. Barras","Producto","Costo","FactorMin","PrecioMin","FactorMay","PrecioMay","Stock","Activo"
"ACCESORIOS","FICHAS","","","CORREA 13A0725C","$1.00","5.00%","$5.00","5.00%","$5.00","1","Si"
"ACCESORIOS","LIMPIAPARABRISAS","","110","ESCOBILLA 11""","$0.00","5.00%","$0.00","5.00%","$0.00","0","Si"
"ACCESORIOS","LIMPIAPARABRISAS","","130","ESCOBILLA 13""","$0.00","5.00%","$0.00","5.00%","$0.00","0","Si"
"ACCESORIOS","LIMPIAPARABRISAS","ImbelloniR12","160","ESCOBILLA 16""","$0.00","5.00%","$0.00","5.00%","$0.00","2","Si"
"ACCESORIOS","LIMPIAPARABRISAS","ImbelloniR12","7798036021092","ESCOBILLA clx  170","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","LIMPIAPARABRISAS","ImbelloniR12","7798036021108","ESCOBILLA clx  180","$1.00","5.00%","$5.00","5.00%","$5.00","7","Si"
"ACCESORIOS","LIMPIAPARABRISAS","ImbelloniR12","7798036021122","ESCOBILLA clx  200","$1.00","5.00%","$5.00","5.00%","$5.00","14","Si"
"ACCESORIOS","LIMPIAPARABRISAS","ImbelloniR12","7798036021139","ESCOBILLA clx  210","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","LIMPIAPARABRISAS","ImbelloniR12","7798036021146","ESCOBILLA clx  220","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","LIMPIAPARABRISAS","ImbelloniR12","7798036021153","ESCOBILLA clx  240","$1.00","5.00%","$5.00","5.00%","$5.00","12","Si"
"ACCESORIOS","LIMPIAPARABRISAS","ImbelloniR12","7798036021061","ESCOBILLA CLX 130","$1.00","5.00%","$5.00","5.00%","$5.00","1","Si"
"ACCESORIOS","LIMPIAPARABRISAS","ImbelloniR12","7798036021115","ESCOBILLA CLX 190","$1.00","5.00%","$5.00","5.00%","$5.00","2","Si"
"ACCESORIOS","ESTAÑO","ImbelloniR12","20166113","ESTAÑO 40%","$1.00","5.00%","$5.00","5.00%","$5.00","45","Si"
"ACCESORIOS","FICHAS","","","FICHA 1 POLO SIN SOPORTE 1244-ORO 1244'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","FICHAS","","","FICHA 1 VIA HEMBRA REDONDA 1101-ORO  1101'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","FICHAS","","","FICHA 1 VIA MACHO REDONDA 1102-ORO 1102'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","FICHAS","ImbelloniR12","","FICHA 1048 P/RELE 1048-ORO","$1.00","5.00%","$5.00","5.00%","$5.00","4","Si"
